Date,IEF
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,
2003-02-18,
2003-02-19,
2003-02-20,
2003-02-21,
2003-02-24,
2003-02-25,
2003-02-26,
2003-02-27,
2003-02-28,
2003-03-03,
2003-03-04,
2003-03-05,
2003-03-06,
2003-03-07,
2003-03-10,
2003-03-11,
2003-03-12,
2003-03-13,
2003-03-14,
2003-03-17,
2003-03-18,
2003-03-19,
2003-03-20,
2003-03-21,
2003-03-24,
2003-03-25,
2003-03-26,
2003-03-27,
2003-03-28,
2003-03-31,
2003-04-01,
2003-04-02,
2003-04-03,
2003-04-04,
2003-04-07,
2003-04-08,
2003-04-09,
2003-04-10,
2003-04-11,
2003-04-14,
2003-04-15,
2003-04-16,
2003-04-17,
2003-04-18,
2003-04-21,
2003-04-22,
2003-04-23,
2003-04-24,
2003-04-25,
2003-04-28,
2003-04-29,
2003-04-30,
2003-05-01,
2003-05-02,
2003-05-05,
2003-05-06,
2003-05-07,0.2887561528626612
2003-05-08,-0.31461958189631783
2003-05-09,-0.290950833532858
2003-05-12,0.30921009172262093
2003-05-13,-0.30541228686747585
2003-05-14,0.2978018741098495
2003-05-15,-0.24758996880612277
2003-05-16,0.2670041990231123
2003-05-19,0.29631031976287564
2003-05-20,-0.26560042088225383
2003-05-21,0.22298416224791148
2003-05-22,-0.22051774086881865
2003-05-23,0.23026994393775582
2003-05-26,-0.23026994393775582
2003-05-27,-0.2224313659515173
2003-05-28,-0.2538586043918124
2003-05-29,0.27551862174117026
2003-05-30,-0.2771050175665417
2003-06-02,-0.23143411405691072
2003-06-03,0.2523388498381004
2003-06-04,0.2959313214168282
2003-06-05,-0.2784117588393653
2003-06-06,-0.29974423545388296
2003-06-09,0.30074597681917076
2003-06-10,-0.3250912839033889
2003-06-11,-0.31019668689418145
2003-06-12,-0.32563277319625894
2003-06-13,0.3501094070477095
2003-06-16,-0.3546081607809931
2003-06-17,-0.3672208783045827
2003-06-18,0.35327165284811923
2003-06-19,0.4136050123497763
2003-06-20,0.40615707453783434
2003-06-23,0.41627756120915366
2003-06-24,0.43989458862176767
2003-06-25,0.4389639349100346
2003-06-26,-0.37771844004807803
2003-06-27,0.39184868562628006
2003-06-30,0.3973710654046832
2003-07-01,0.3441156319889349
2003-07-02,-0.36241362506423935
2003-07-03,0.39687682330702445
2003-07-04,-0.39687682330702445
2003-07-07,-0.3698888205101482
2003-07-08,0.35921250143226163
2003-07-09,-0.35456031090178936
2003-07-10,0.37935190881431724
2003-07-11,-0.3881024214736044
2003-07-14,0.39147836357439514
2003-07-15,-0.40749611341391667
2003-07-16,-0.35072597378608156
2003-07-17,0.38910773983564756
2003-07-18,0.38744275980551207
2003-07-21,-0.3653814580196782
2003-07-22,-0.36521454444154194
2003-07-23,0.3989504594980956
2003-07-24,-0.40502328392814646
2003-07-25,0.40385987304901183
2003-07-28,-0.3844732611832458
2003-07-29,-0.40623069985686777
2003-07-30,0.3965269649325446
2003-07-31,0.3761659507350395
2003-08-01,-0.29019471826144205
2003-08-04,0.2925377627445509
2003-08-05,0.3255988880935607
2003-08-06,-0.28343202314118465
2003-08-07,0.38308567539815747
2003-08-08,-0.3627142300176486
2003-08-11,-0.3686767295391002
2003-08-12,0.36242743620663387
2003-08-13,-0.39611296507751953
2003-08-14,-0.35068122757441705
2003-08-15,0.372566216392585
2003-08-18,-0.39069957312866016
2003-08-19,-0.3732291954219549
2003-08-20,0.3770305381891534
2003-08-21,-0.38575583239253075
2003-08-22,0.3417135639454991
2003-08-25,0.33129176600810095
2003-08-26,-0.32402744772249914
2003-08-27,0.34680699550468325
2003-08-28,-0.3535743672406506
2003-08-29,0.37004570493622113
2003-09-01,-0.37004570493622113
2003-09-02,-0.25509002197404634
2003-09-03,0.32160490627288496
2003-09-04,0.35965418562224855
2003-09-05,0.4389722793577302
2003-09-08,-0.44261486163643093
2003-09-09,-0.4584552034199548
2003-09-10,0.4539534537630677
2003-09-11,-0.43851092091627975
2003-09-12,0.4562080052792857
2003-09-15,-0.47057827489635334
2003-09-16,0.4993822570821499
2003-09-17,0.509092773300102
2003-09-18,0.4862826185626686
2003-09-19,-0.48086557779367545
2003-09-22,-0.4827706234902156
2003-09-23,0.471084631389791
2003-09-24,0.45253785169439176
2003-09-25,0.45721963618795497
2003-09-26,-0.4409737796030183
2003-09-29,-0.44954411658286175
2003-09-30,-0.4664157852202154
2003-10-01,0.44956056027224955
2003-10-02,-0.4406113319271751
2003-10-03,-0.4337382384729112
2003-10-06,-0.42691047875227983
2003-10-07,0.4642359324620121
2003-10-08,-0.4686591981733417
2003-10-09,0.4978993705089182
2003-10-10,0.5048235282165693
2003-10-13,-0.5177874478095551
2003-10-14,-0.5149934397797923
2003-10-15,0.502542892119704
2003-10-16,0.5114446954934346
2003-10-17,-0.4704889434501905
2003-10-20,0.4759146681164997
2003-10-21,0.5007979546505615
2003-10-22,-0.48854615641821353
2003-10-23,-0.4615064555439238
2003-10-24,-0.47676893605441495
2003-10-27,0.4771899764575471
2003-10-28,-0.4635553131889168
2003-10-29,0.49745069810981823
2003-10-30,-0.4960949606462899
2003-10-31,0.4950712998596497
2003-11-03,-0.44979817569286645
2003-11-04,0.4458283537911226
2003-11-05,-0.45364130774651945
2003-11-06,-0.4295696928703619
2003-11-07,0.4148488184720966
2003-11-10,0.41430064384237875
2003-11-11,-0.3683106881048111
2003-11-12,0.4084244932818541
2003-11-13,0.44907467948465724
2003-11-14,-0.4571656396659618
2003-11-17,0.45697173674788116
2003-11-18,-0.4402069694393535
2003-11-19,0.45061717359577436
2003-11-20,-0.45416916361225695
2003-11-21,0.45043570717493975
2003-11-24,-0.43251411487521496
2003-11-25,0.4582930057755676
2003-11-26,0.4768438547748669
2003-11-27,-0.4768438547748669
2003-11-28,-0.46966355947782557
2003-12-01,-0.40022372520284927
2003-12-02,0.41864492056444136
2003-12-03,0.4369823713760992
2003-12-04,-0.4315266070911712
2003-12-05,0.46953148841409104
2003-12-08,-0.4723878937493329
2003-12-09,-0.46786777884009195
2003-12-10,-0.4636588574881547
2003-12-11,0.4573464450902386
2003-12-12,0.5397940271498873
2003-12-15,-0.5067165494222058
2003-12-16,0.516254684643539
2003-12-17,0.5213140612459534
2003-12-18,-0.5196053949185883
2003-12-19,0.5022668996179575
2003-12-22,0.5282588702194225
2003-12-23,-0.5105751601306042
2003-12-24,0.5145852463365725
2003-12-25,0.5145852463365725
2003-12-26,0.551542352688902
2003-12-29,-0.5288587707243704
2003-12-30,-0.5227934976339028
2003-12-31,0.5086991355775597
2004-01-01,0.5086991355775597
2004-01-02,-0.50851781742977
2004-01-05,-0.49531964890591373
2004-01-06,0.49907868702049474
2004-01-07,0.5332030784976003
2004-01-08,-0.5750219051705391
2004-01-09,0.593444361654048
2004-01-12,-0.5989050879327807
2004-01-13,0.599126045159203
2004-01-14,0.59343146361275
2004-01-15,-0.5909396876582542
2004-01-16,-0.5924920728686484
2004-01-19,-0.5924920728686484
2004-01-20,-0.5968084566438858
2004-01-21,0.5960709940331226
2004-01-22,0.6271067891900544
2004-01-23,0.6385071607313713
2004-01-26,-0.613269447288166
2004-01-27,0.6053516328236543
2004-01-28,0.6176353534646752
2004-01-29,-0.5616484736091626
2004-01-30,0.5675383932824966
2004-02-02,-0.5367071651712602
2004-02-03,0.5206023199854733
2004-02-04,-0.5314564399383124
2004-02-05,-0.5245980891518434
2004-02-06,0.544770641357183
2004-02-09,-0.5211514516060235
2004-02-10,-0.5211514516060235
2004-02-11,-0.6915827578867274
2004-02-12,0.7396276362044228
2004-02-13,-0.786689290066444
2004-02-16,-0.786689290066444
2004-02-17,0.7697306654424477
2004-02-18,0.8056389148396408
2004-02-19,-0.8184120276062394
2004-02-20,0.7970545220316292
2004-02-23,-0.7236719258763183
2004-02-24,0.7589461698435853
2004-02-25,-0.8699312523230014
2004-02-26,-0.9119361362840304
2004-02-27,1.0267942066211762
2004-03-01,-0.9232371940781381
2004-03-02,-0.9423321054421077
2004-03-03,-0.9194354002708873
2004-03-04,0.9246744248592134
2004-03-05,1.0154726463036057
2004-03-08,-0.9603041328896575
2004-03-09,-0.8909109798736083
2004-03-10,0.8495575741757636
2004-03-11,0.6606908014140813
2004-03-12,-0.6101620059183646
2004-03-15,0.628174575658519
2004-03-16,0.5975057996233324
2004-03-17,0.6587587038236353
2004-03-18,-0.7231848614061488
2004-03-19,0.756508520088964
2004-03-22,0.5546030113144736
2004-03-23,0.5418960496411991
2004-03-24,-0.6287848677387653
2004-03-25,-0.6707056362990508
2004-03-26,0.7412728570131233
2004-03-29,-0.8091592025608909
2004-03-30,0.854994830379223
2004-03-31,-0.8845611050962264
2004-04-01,0.7811206852626268
2004-04-02,-0.7390901377661698
2004-04-05,0.6805848714997169
2004-04-06,0.7448364528554277
2004-04-07,-0.7715260602438396
2004-04-08,-0.8462508398503494
2004-04-09,0.8462508398503494
2004-04-12,-0.8035503751706992
2004-04-13,-0.8172990781697631
2004-04-14,-0.6523114135610696
2004-04-15,0.7678553614549253
2004-04-16,-0.8719956653432204
2004-04-19,-0.8351611135181517
2004-04-20,-0.8776758649056173
2004-04-21,-0.8265727271506755
2004-04-22,0.8112661256513093
2004-04-23,-0.8646368219913425
2004-04-26,0.8571388110060656
2004-04-27,0.8519981912426208
2004-04-28,-0.8325678923254869
2004-04-29,-0.8058882308906536
2004-04-30,0.8025187382102643
2004-05-03,0.6466289170299602
2004-05-04,0.7957647266152351
2004-05-05,-0.8401751829553628
2004-05-06,-0.81688391068418
2004-05-07,-0.6743428899369645
2004-05-10,0.6636123325982539
2004-05-11,0.6763712839380731
2004-05-12,0.7209912236668031
2004-05-13,-0.6862787641153618
2004-05-14,0.686226527627313
2004-05-17,0.6236476650357866
2004-05-18,-0.7651482746595173
2004-05-19,-0.8036462081299718
2004-05-20,0.8005928262963451
2004-05-21,-0.7588777405132455
2004-05-24,-0.7132117600633087
2004-05-25,0.8491483660582992
2004-05-26,-1.023411619347994
2004-05-27,1.0822789058585214
2004-05-28,-1.0429923861984038
2004-05-31,-1.0429923861984038
2004-06-01,-0.9069667045548021
2004-06-02,1.12432960522227
2004-06-03,1.0364397488827526
2004-06-04,1.0801939552446707
2004-06-07,-1.0311127503063366
2004-06-08,1.150031396364383
2004-06-09,-1.239955086459871
2004-06-10,-1.2271623120738568
2004-06-11,1.2271623120738568
2004-06-14,-1.2516724627167126
2004-06-15,1.4312567797951097
2004-06-16,-1.2954115338614924
2004-06-17,-1.2142715545746117
2004-06-18,1.2419321263201952
2004-06-21,-1.19768584673916
2004-06-22,-1.297590515874904
2004-06-23,-1.3263098910896751
2004-06-24,1.3114490723142163
2004-06-25,-1.262821034824337
2004-06-28,-1.2303560473988528
2004-06-29,-1.3021409646134283
2004-06-30,1.3272394482178351
2004-07-01,-1.2398735221783836
2004-07-02,1.2919497772261066
2004-07-05,-1.2919497772261066
2004-07-06,-1.2451428475409965
2004-07-07,-1.3549551360214223
2004-07-08,1.3335189152849256
2004-07-09,-1.3293283865573031
2004-07-12,1.3784261439731842
2004-07-13,-1.488673685545907
2004-07-14,1.4851462033746203
2004-07-15,1.606623199619622
2004-07-16,1.6293090925793785
2004-07-19,-1.543603199727827
2004-07-20,-1.5119332189047114
2004-07-21,-1.6168974738740274
2004-07-22,1.4057685501231911
2004-07-23,-1.5187532971867492
2004-07-26,-1.4166858822716122
2004-07-27,-1.5534245457705573
2004-07-28,-1.595731019641807
2004-07-29,1.675046294137083
2004-07-30,1.708200876547194
2004-08-02,-1.5966780173242296
2004-08-03,-1.7680207102693912
2004-08-04,1.6982864362601846
2004-08-05,-1.6913589445281962
2004-08-06,1.7004880501003474
2004-08-09,-1.4750150604031806
2004-08-10,1.6937742295158644
2004-08-11,-1.6190933903639388
2004-08-12,1.5436178209922942
2004-08-13,1.5927400901079278
2004-08-16,-1.5719169854018722
2004-08-17,1.886566338776603
2004-08-18,1.7825308100954507
2004-08-19,-1.8384404866272666
2004-08-20,1.8700213056504986
2004-08-23,-1.8587145181965452
2004-08-24,2.0026571435389107
2004-08-25,2.0315032971358207
2004-08-26,-1.9741755483700767
2004-08-27,-1.9785828073473621
2004-08-30,-1.968315748185184
2004-08-31,2.0245742789637666
2004-09-01,-1.9779533192527265
2004-09-02,-2.024260023194938
2004-09-03,-2.0279645577666585
2004-09-06,2.0279645577666585
2004-09-07,-2.1104293780130767
2004-09-08,2.1370274504912836
2004-09-09,2.1324820729747183
2004-09-10,-2.241230304376562
2004-09-13,-2.2025246089390973
2004-09-14,2.199464052778441
2004-09-15,-2.1996877235774903
2004-09-16,-2.1860167454370103
2004-09-17,2.2169899683828254
2004-09-20,-2.3215889137932573
2004-09-21,2.2093897915526455
2004-09-22,-2.217940115762789
2004-09-23,2.341395684998752
2004-09-24,-2.3026785178684124
2004-09-27,2.35721495716439
2004-09-28,-2.407856855293154
2004-09-29,-2.438310473858464
2004-09-30,-2.4311332920648123
2004-10-01,2.4480389893599206
2004-10-04,2.389170242533564
2004-10-05,2.4409822537391643
2004-10-06,-2.373993811982417
2004-10-07,-2.423764839476565
2004-10-08,2.4025994595321887
2004-10-11,-2.399761239045774
2004-10-12,2.3435695535505894
2004-10-13,-2.506031506090785
2004-10-14,2.4541515997664654
2004-10-15,-2.410481517764081
2004-10-18,-2.443123587615075
2004-10-19,-2.4647467580729523
2004-10-20,2.565775340638254
2004-10-21,-2.650073469226765
2004-10-22,-2.7163496997140752
2004-10-25,2.646340355679481
2004-10-26,-2.6690885152940442
2004-10-27,2.692701295087566
2004-10-28,-2.6171278294956286
2004-10-29,2.605017845243519
2004-11-01,-2.517631774763372
2004-11-02,-2.637506965684593
2004-11-03,-2.682218796926252
2004-11-04,2.7717956904612118
2004-11-05,-2.646301910891167
2004-11-08,2.721286183872418
2004-11-09,2.9022196183811393
2004-11-10,-2.8558696963812213
2004-11-11,2.8721011406917856
2004-11-12,-2.800581307229738
2004-11-15,2.701854818486295
2004-11-16,2.701854818486295
2004-11-17,0.24083655019057823
2004-11-18,0.19353403169088476
2004-11-19,-0.30410124945110856
2004-11-22,-0.2445411236898498
2004-11-23,0.2859652733675616
2004-11-24,0.27942849365301575
2004-11-25,-0.27942849365301575
2004-11-26,-0.1849174491296473
2004-11-29,-0.1605150563448824
2004-11-30,0.12582523922845304
2004-12-01,0.05830057827237494
2004-12-02,-0.04124858979563127
2004-12-03,0.007544649342388177
2004-12-06,0.09261179209982337
2004-12-07,-0.04636721031909434
2004-12-08,0.11671904411897555
2004-12-09,0.029345029333468796
2004-12-10,0.04103726299388153
2004-12-13,-0.06961798403225651
2004-12-14,0.07748776271683913
2004-12-15,0.1194203896413561
2004-12-16,-0.14184393570667628
2004-12-17,-0.20783211451306569
2004-12-20,0.17549661844984188
2004-12-21,-0.15909918912913673
2004-12-22,0.25111521828392047
2004-12-23,-0.15094167354404295
2004-12-24,0.15094167354404295
2004-12-27,-0.07809052556548793
2004-12-28,-0.07693964377263193
2004-12-29,0.03719132511672455
2004-12-30,-0.02410355136498001
2004-12-31,-0.0030919180402023787
2005-01-03,-0.010683264336169476
2005-01-04,0.05398695508904893
2005-01-05,-0.15436410676264986
2005-01-06,0.12699723994834966
2005-01-07,0.27354506987095345
2005-01-10,-0.3353456170323786
2005-01-11,0.3374688166494768
2005-01-12,0.31143131209170755
2005-01-13,0.29043614093802206
2005-01-14,-0.3272628044935151
2005-01-17,-0.3272628044935151
2005-01-18,-0.5045196376319647
2005-01-19,0.6078565121181849
2005-01-20,-0.5024573630010793
2005-01-21,0.47014191207195455
2005-01-24,0.4172906748451778
2005-01-25,-0.45538520101873337
2005-01-26,-0.5029122201833688
2005-01-27,0.4650703481454979
2005-01-28,0.5116416612913858
2005-01-31,-0.4600058814278785
2005-02-01,-0.6296276930940968
2005-02-02,0.5992050680331894
2005-02-03,-0.634125439768079
2005-02-04,0.6829088288003249
2005-02-07,-0.8461719675532922
2005-02-08,-0.9475261534834172
2005-02-09,-0.9673639794316852
2005-02-10,0.8536952933089705
2005-02-11,-0.8277288029377007
2005-02-14,0.9385549216985132
2005-02-15,0.9041278955405119
2005-02-16,-0.8222709988705804
2005-02-17,-0.8422449864427668
2005-02-18,0.6850974422609017
2005-02-21,0.6850974422609017
2005-02-22,0.0
2005-02-23,0.582652650859724
2005-02-24,-0.6859421084552255
2005-02-25,-0.7457072745424497
2005-02-28,0.7665711257076214
2005-03-01,-0.784713975393792
2005-03-02,0.8429700559515679
2005-03-03,0.864812831606971
2005-03-04,-0.8971207925513828
2005-03-07,0.9350235879582725
2005-03-08,-0.966250106060649
2005-03-09,-0.8295770187185375
2005-03-10,0.7355411946696372
2005-03-11,0.6876235889166366
2005-03-14,-0.6595672842534125
2005-03-15,0.8113265039754574
2005-03-16,-0.7672716038127133
2005-03-17,0.7185406955530821
2005-03-18,-0.7490077020009731
2005-03-21,0.7681596350676877
2005-03-22,0.8604099044203101
2005-03-23,-0.8487153296528782
2005-03-24,0.9287523277114241
2005-03-25,-0.9287523277114241
2005-03-28,-0.9221066015219584
2005-03-29,0.960582834920092
2005-03-30,0.880653663900492
2005-03-31,0.9968606042422166
2005-04-01,-1.029829697323033
2005-04-04,-1.0710462659823259
2005-04-05,1.097682142179631
2005-04-06,1.0886889404590558
2005-04-07,-1.0482509785486998
2005-04-08,-1.0724133562791736
2005-04-11,0.996809579885485
2005-04-12,0.9792519507275457
2005-04-13,1.004354077473405
2005-04-14,-0.8551554084820512
2005-04-15,0.8697134967675064
2005-04-18,0.6816014215545425
2005-04-19,-0.7278413984957327
2005-04-20,0.7468606027454366
2005-04-21,0.7147371142676894
2005-04-22,-0.8287486255073141
2005-04-25,0.8527332357225202
2005-04-26,0.9290334193203224
2005-04-27,-0.8580736212467235
2005-04-28,0.8553032245557709
2005-04-29,0.8462893348614031
2005-05-02,-0.909137552098481
2005-05-03,0.9671675474699306
2005-05-04,-0.8682720194314147
2005-05-05,0.8334613798958236
2005-05-06,-0.8568787962514821
2005-05-09,1.0055735999042146
2005-05-10,1.0213109931721112
2005-05-11,0.9547883299877868
2005-05-12,-1.011647415144214
2005-05-13,0.9761138096266833
2005-05-16,-0.9876914056066906
2005-05-17,-1.032408899400767
2005-05-18,1.1440116739801414
2005-05-19,-1.1085488967698987
2005-05-20,-1.151674107925319
2005-05-23,1.2776813748234095
2005-05-24,1.3264602614713354
2005-05-25,-1.2978676700080063
2005-05-26,-1.2737441361065158
2005-05-27,1.3514003651095585
2005-05-30,-1.3514003651095585
2005-05-31,1.4022959787792795
2005-06-01,-1.5712702172523298
2005-06-02,1.7289532591496668
2005-06-03,1.708102369629763
2005-06-06,-1.717827545206762
2005-06-07,1.7367601384866422
2005-06-08,-1.6898869138481054
2005-06-09,-1.6671066501287686
2005-06-10,1.7469407279724911
2005-06-13,-1.7443330950590146
2005-06-14,1.794383236332544
2005-06-15,-1.8151939490010984
2005-06-16,1.7872408358379697
2005-06-17,1.8798575977222154
2005-06-20,-1.841394057676478
2005-06-21,1.9084900876223045
2005-06-22,1.892807306225834
2005-06-23,-1.9098913961706618
2005-06-24,1.9256510055738398
2005-06-27,-1.8643625658126002
2005-06-28,-1.8666044371013806
2005-06-29,1.9380555813723825
2005-06-30,-1.860964465069324
2005-07-01,1.8872798951293663
2005-07-04,1.8872798951293663
2005-07-05,-2.0452358061992926
2005-07-06,2.0835342224382836
2005-07-07,2.0399732295661925
2005-07-08,-2.0669336824838087
2005-07-11,-2.0800834000928994
2005-07-12,2.0283932306076626
2005-07-13,-1.9590824149191977
2005-07-14,2.0201759897211335
2005-07-15,-1.9658404944822787
2005-07-18,2.023115175930111
2005-07-19,-1.9565955798845398
2005-07-20,2.0452268950417665
2005-07-21,-2.0059477762608546
2005-07-22,1.9517882315520614
2005-07-25,2.107923197018239
2005-07-26,-2.0699157823796845
2005-07-27,-2.1210731367358813
2005-07-28,2.1254982827329054
2005-07-29,-2.1316331328570723
2005-08-01,-2.0958859650998223
2005-08-02,2.0688391368279424
2005-08-03,2.103578496550637
2005-08-04,1.9861937733083763
2005-08-05,-1.9386691889413925
2005-08-08,1.96083999459025
2005-08-09,-1.9955393956406062
2005-08-10,1.9531344631597263
2005-08-11,-1.9778716864896069
2005-08-12,1.9994125554701148
2005-08-15,1.9824242521459985
2005-08-16,-2.0902533989418832
2005-08-17,-2.020205048578816
2005-08-18,1.9924063360977344
2005-08-19,2.049850319579665
2005-08-22,-2.1071999159221604
2005-08-23,-2.1071999159221604
2005-08-24,0.1635437280817874
2005-08-25,-0.12711257158635864
2005-08-26,0.1423963802980791
2005-08-29,-0.08732247129994224
2005-08-30,0.1377709684535363
2005-08-31,0.20040729502570515
2005-09-01,-0.2665149851243408
2005-09-02,0.32163105041305723
2005-09-05,-0.32163105041305723
2005-09-06,0.17773227362948163
2005-09-07,-0.2868731678690138
2005-09-08,0.3032396312236325
2005-09-09,0.3234777368014185
2005-09-12,-0.3929582106374346
2005-09-13,0.3708232771531593
2005-09-14,-0.3148162871945906
2005-09-15,-0.3076649722496501
2005-09-16,-0.392396246363862
2005-09-19,0.3827457035118898
2005-09-20,0.4049596074943889
2005-09-21,0.307290926323763
2005-09-22,-0.18397791480169687
2005-09-23,-0.21528123040146005
2005-09-26,-0.20988054508528653
2005-09-27,0.2533331546072983
2005-09-28,-0.26410418342764713
2005-09-29,0.2416574473492954
2005-09-30,-0.3245717093901277
2005-10-03,-0.3293173518492652
2005-10-04,0.304820071992148
2005-10-05,0.2322569422180513
2005-10-06,-0.058137958973546185
2005-10-07,-0.04747205617936151
2005-10-10,0.015900744776777838
2005-10-11,0.03784027560296547
2005-10-12,0.027405518877136468
2005-10-13,-0.050524234051053836
2005-10-14,0.11767547088766055
2005-10-17,0.07931976476732987
2005-10-18,0.13044038151363946
2005-10-19,0.03803847563662004
2005-10-20,-0.17791286095874087
2005-10-21,-0.007549676649976748
2005-10-24,-0.06778175619783504
2005-10-25,0.12434943957751934
2005-10-26,-0.1344722607253595
2005-10-27,0.11540885443146912
2005-10-28,0.030581433553988967
2005-10-31,-0.17552329768525327
2005-11-01,-0.13299280102947222
2005-11-02,-0.10278223151080329
2005-11-03,0.2722480143686509
2005-11-04,-0.3305607337407659
2005-11-07,0.2896914305243394
2005-11-08,0.23885171098968022
2005-11-09,-0.2760829631578752
2005-11-10,-0.2970233698218974
2005-11-11,0.3809948009613779
2005-11-14,-0.3589592802955268
2005-11-15,-0.36317716251877724
2005-11-16,0.3393110063530024
2005-11-17,-0.38458168605092985
2005-11-18,-0.44610819892923387
2005-11-21,0.45900188786172863
2005-11-22,-0.47934289459253354
2005-11-23,0.5007236368017444
2005-11-24,-0.5007236368017444
2005-11-25,-0.535026766173196
2005-11-28,0.4870199646476573
2005-11-29,0.4182759358323104
2005-11-30,-0.407758510945102
2005-12-01,-0.3769506905597724
2005-12-02,0.5244291899136855
2005-12-05,0.5026245786616781
2005-12-06,0.5311233432248662
2005-12-07,0.530745986918841
2005-12-08,-0.4979660656636696
2005-12-09,-0.49685453783703915
2005-12-12,-0.5540626348101184
2005-12-13,0.603038164607289
2005-12-14,0.5859715035325609
2005-12-15,-0.5832967793286242
2005-12-16,0.5852580460251506
2005-12-19,-0.4929967631319768
2005-12-20,0.49103022710481
2005-12-21,-0.5352701266808828
2005-12-22,0.5324323921591378
2005-12-23,0.5685643935423021
2005-12-26,-0.5685643935423021
2005-12-27,0.5122045964625288
2005-12-28,-0.42780233541412477
2005-12-29,-0.46409072889129
2005-12-30,0.4412464512426364
2006-01-02,-0.4412464512426364
2006-01-03,-0.4261091458492076
2006-01-04,0.5838280800261716
2006-01-05,-0.59098687650841
2006-01-06,-0.6015918397871359
2006-01-09,-0.6341357637201308
2006-01-10,0.0
2006-01-11,0.686705946014485
2006-01-12,-0.6932188698481159
2006-01-13,0.654908945314308
2006-01-16,-0.654908945314308
2006-01-17,0.6086348085308966
2006-01-18,0.5919494517875572
2006-01-19,-0.6112104281151531
2006-01-20,0.6223651005316637
2006-01-23,-0.41227746702119816
2006-01-24,0.46486809525331413
2006-01-25,-0.5433160660477039
2006-01-26,-0.5382611249634051
2006-01-27,0.6202181390932973
2006-01-30,-0.6364097509670066
2006-01-31,0.6491854863487738
2006-02-01,-0.5922191677874616
2006-02-02,0.6171488971219062
2006-02-03,-0.5054160937237765
2006-02-06,0.4828883355053887
2006-02-07,-0.4826005924265799
2006-02-08,-0.44077056664950987
2006-02-09,-0.5176019524041081
2006-02-10,0.3543128779833342
2006-02-13,-0.35964281817465854
2006-02-14,0.37220674292488304
2006-02-15,0.4332140961399393
2006-02-16,-0.4280179450263218
2006-02-17,0.48957795903037676
2006-02-20,-0.48957795903037676
2006-02-21,-0.443935028641872
2006-02-22,0.43626447214750946
2006-02-23,-0.47171518490515446
2006-02-24,0.4408610095886946
2006-02-27,-0.4831862680733021
2006-02-28,0.4903432306527202
2006-03-01,-0.4857960670660455
2006-03-02,-0.4880010777922021
2006-03-03,0.5316781719558301
2006-03-06,-0.5260232087554325
2006-03-07,0.44968816180757654
2006-03-08,0.3824115591011334
2006-03-09,-0.4940817415718464
2006-03-10,-0.45485004712564653
2006-03-13,-0.5313045585458269
2006-03-14,0.5426331223704515
2006-03-15,-0.6475500790533917
2006-03-16,0.7054026556108127
2006-03-17,0.6515220537385628
2006-03-20,-0.599771055006038
2006-03-21,-0.6280245917188344
2006-03-22,-0.613948694672789
2006-03-23,0.6599622464238495
2006-03-24,-0.657248062790619
2006-03-27,0.6566986221907595
2006-03-28,-0.6346967257110752
2006-03-29,-0.6325167216821839
